x,y
3.028900212249059,3.2786797417423172
3.5362782052507202,3.4289381681191244
5.872830983227972,3.4256814000838314
2.9841056111077444,4.116253324761308
3.2326599811265826,4.339983294799261
5.406746930923267,1.9293289176630706
4.8450404732386385,5.586796416464493
2.837734754101158,1.8810908459945659
2.682212095244995,1.0118564571464324
2.83350799813332,2.639761190848521
3.1684010668923164,4.2720805178136
4.2644785634448645,6.59015974660271
3.0460615936483704,3.2828881181285654
5.484420199813243,4.2964760163691835
6.10630440971758,2.2398967251409116
2.5087333861424863,3.404664104388129
3.214549560242471,3.4380202241057334
3.7008778367998123,2.780646582832545
4.490519461752728,7.255092093006817
4.5915961828415925,5.438153003744056
2.993083375248842,1.885045492687054
2.611858900886696,4.10211517826478
5.508693053540688,2.8605786832458215
5.603157596602111,3.3153159378966057
3.276932259859506,2.3072930806960334
4.599699222134707,6.833725762567401
5.820776159561287,2.2395201425438978
3.4189041132532103,4.365196892549555
3.2287569879839437,2.4781740667106944
6.351250780226829,3.5888626420398477
5.314030843959017,4.654629607713119
2.83836020790882,2.4543300992870867
4.210316775466731,6.017889268056439
5.0935340229786386,6.585173165332457
2.9033869276251076,1.8242493084149536
4.782568025723145,6.091721091646207
4.29987696646431,5.847528959196107
4.304561549508575,6.709066711595877
3.888102903202205,8.555144428175444
4.350505522705073,5.394660930817525
3.119113499197532,1.2602557083778125
6.1349842134576145,3.7479369732012486
4.03237093923933,5.021850263544028
2.92052944753859,2.802535571245947
6.130482857826256,3.8831239319459803
4.277627896769942,5.64873034844217
5.930074616971558,1.5712996740730105
6.208663938449526,3.8151883865048983
5.490264257274117,3.152786576317248
4.614251388024346,4.842052295832932
6.345607721205095,5.4183782279259844
5.712435845245003,2.683861965125482
3.155476077638306,2.375415947231161
4.555850065574484,6.051148472019536
5.9368608117261985,2.909975236665607
5.883541953854569,2.661888155392425
3.876856313201099,4.215305636638741
4.856707656916059,6.479932341560708
2.6375030401513344,2.8069665571265303
4.545138284211587,6.467855866024475
3.0802523583954997,-0.5536278912214474
5.780553744562441,3.817915815155849
3.162998296536778,2.8318705285433894
6.204403760058156,3.7061215295415018
6.088594715115446,2.0452350722585972
4.353202210041948,4.948109373203265
5.70053998351825,3.556002407381496
3.8729434284587887,4.979571915634857
4.2067651630062635,6.204511986222638
4.787287420609712,6.772640846520363
2.620652099215792,3.3362521277258823
2.5097153441497055,5.893765419968605
5.820887546401121,2.576570347466168
2.718659384677678,1.8480440857867573
6.1953315009013155,3.9973340005162092
6.721754096821553,2.531569213703641
6.044210886580096,4.481787657615884
2.963511385026145,4.948873479763141
4.642319589037778,7.187669038472812
4.971416157885249,6.484058632518155
4.389289603275875,6.3096642747580765
5.78505092567518,1.8193090687849895
2.8139928721952927,2.930736899954328
5.314342570679607,3.9155851396958576
2.9686585712650255,1.754646444487392
4.766935008768696,5.766168635182981
3.3736073721511812,4.247537487442292
5.282938744215906,3.655346181586765
3.4297669642947683,0.8705527604391725
5.951091565466024,3.145804157669632
6.616837600349466,1.928562506081866
2.9698761826933127,2.6614308427233615
2.769455779607195,3.3346884407563113
2.9838741309707246,2.726871029873843
4.067807459883808,6.051235119923763
3.045209547124518,1.4717784519310626
4.525399280185636,5.913328775984722
5.628275840671578,3.8698359321498152
3.8013908103793024,1.8701265338355697
4.118160004950356,8.526206259029914
4.5794923730583434,3.993611070242783
5.879232200282852,4.334499376110652
